ts_code,trade_date,close,vol,amount
00232.HK,20260624,0.395,33985000.0,13365155.0
00234.HK,20260624,0.03,144000.0,4248.0
00235.HK,20260624,0.021,3825000.0,78600.0
00236.HK,20260624,1.2,14000.0,16680.0
00240.HK,20260624,1.37,800000.0,1106100.0
00241.HK,20260624,3.26,66616327.0,217503178.73
00242.HK,20260624,0.54,1310000.0,698740.0
00243.HK,20260624,0.475,936000.0,469710.0
00244.HK,20260624,0.28,160000.0,44735.0
00245.HK,20260624,1.14,120153.0,132062.18
00247.HK,20260624,19.35,200.0,3620.0
00254.HK,20260624,1.11,85261569.0,94043053.59
00255.HK,20260624,1.41,96000.0,135500.0
00256.HK,20260624,0.064,1464000.0,94266.0
00257.HK,20260624,4.73,8048920.0,38374004.8
00258.HK,20260624,2.01,1238000.0,2510060.0
00259.HK,20260624,4.77,1572000.0,7704920.0
00261.HK,20260624,0.183,508560.0,91684.8
00264.HK,20260624,2.15,6588000.0,14028720.0
00266.HK,20260624,1.88,20000.0,37600.0
00267.HK,20260624,12.05,31420160.0,376764012.3
00270.HK,20260624,7.73,13284693.0,102249135.65
00271.HK,20260624,0.159,12000.0,1871.0
00276.HK,20260624,0.51,25250.0,13265.0
00279.HK,20260624,0.405,2676500.0,1106375.0
00280.HK,20260624,0.48,254000.0,120910.0
00289.HK,20260624,13.11,29000.0,384150.0
00290.HK,20260624,1.92,167472000.0,345137598.5
00291.HK,20260624,21.48,7065222.0,152203150.26
00293.HK,20260624,12.19,19148939.0,233621189.98
00295.HK,20260624,0.016,3700000.0,59000.0
00296.HK,20260624,0.194,100000.0,19035.0
00297.HK,20260624,1.29,51964000.0,66490624.0
00303.HK,20260624,52.55,691125.0,36406922.5
00305.HK,20260624,0.385,1458666.0,554019.76
00306.HK,20260624,2.73,74000.0,201740.0
00308.HK,20260624,1.05,9104047.0,9628547.94
00309.HK,20260624,0.95,10200.0,9291.0
00310.HK,20260624,0.134,390000.0,52770.0
00313.HK,20260624,0.049,3352000.0,159678.0
00315.HK,20260624,4.66,380600.0,1774934.0
00316.HK,20260624,121.1,767521.0,92481927.5
00317.HK,20260624,12.89,1402000.0,18010640.0
00318.HK,20260624,0.89,230000.0,203550.0
00321.HK,20260624,1.13,3676000.0,4110400.0
00322.HK,20260624,9.52,16355663.0,156955850.06
00323.HK,20260624,1.67,3602000.0,6002310.0
00326.HK,20260624,5.63,1316000.0,7449830.0
00328.HK,20260624,0.51,741000.0,376005.0
00329.HK,20260624,0.27,37500.0,9855.0
00330.HK,20260624,0.475,46175.0,21862.7
00332.HK,20260624,0.013,663000.0,8054.0
00336.HK,20260624,3.11,4089830.0,12851097.9
00338.HK,20260624,1.12,20694000.0,23312220.0
00339.HK,20260624,0.7,110000.0,80000.0
00340.HK,20260624,1.8,10128200.0,17926554.561
00341.HK,20260624,5.37,3388000.0,18128180.0
00343.HK,20260624,0.115,1350000.0,155340.0
00345.HK,20260624,6.35,3094000.0,19749980.0
00346.HK,20260624,0.265,95000.0,25175.0
00347.HK,20260624,1.15,4145783.0,4763476.11
00348.HK,20260624,0.069,350000.0,23510.0
