rank,ts_code,name,strategy_tag,price,dividend_yield_ttm,hist_yield_max,hist_yield_max_date,hist_yield_max_ttm_cash,hist_yield_max_close,hist_yield_obs,yield_pctile_all,yield_pctile_1y,yield_pctile_2y,yield_pctile_5y,yield_pctile_10y,yield_to_hist_max,current_ttm_cash_to_peak,yield_position_label,yield_valuation_hint,list_date,last_div_date
58,520890.SH,华泰柏瑞恒生港股通高股息低波动ETF,高股息 / 港股通高股息,1.208,0.0,,,,,0,,,,,,,,暂无TTM分红,暂无当前TTM分红,20240920,
59,159127.SZ,南方中证港股通高股息投资ETF,高股息 / 港股通高股息,0.848,0.0,,,,,0,,,,,,,,暂无TTM分红,暂无当前TTM分红,20251120,
60,159726.SZ,华夏恒生港股通中国内地企业高股息率ETF,高股息,1.214,0.0,,,,,0,,,,,,,,暂无TTM分红,暂无当前TTM分红,20211123,
61,159549.SZ,天弘中证红利低波动100ETF,中证红利 / 红利低波,1.091,0.0,,,,,0,,,,,,,,暂无TTM分红,暂无当前TTM分红,20231211,
62,512530.SH,建信沪深300红利ETF,红利/股息,1.437,0.0,,,,,0,,,,,,,,暂无TTM分红,暂无当前TTM分红,20190923,
63,563180.SH,银华中证高股息策略ETF,高股息,1.017,0.0,,,,,0,,,,,,,,暂无TTM分红,暂无当前TTM分红,20240514,
64,159277.SZ,富国中证港股通高股息投资ETF,高股息 / 港股通高股息,0.875,0.0,,,,,0,,,,,,,,暂无TTM分红,暂无当前TTM分红,20250814,
65,159117.SZ,鹏华标普港股通低波红利ETF,红利/股息,0.923,0.0,,,,,0,,,,,,,,暂无TTM分红,暂无当前TTM分红,20251017,
66,159296.SZ,华宝中证A500红利低波动ETF,红利低波,0.913,0.0,,,,,0,,,,,,,,暂无TTM分红,暂无当前TTM分红,20250904,
67,159118.SZ,华夏标普港股通低波红利ETF,红利/股息,0.879,0.0,,,,,0,,,,,,,,暂无TTM分红,暂无当前TTM分红,20251127,
68,159302.SZ,银华中证港股通高股息投资ETF,高股息 / 港股通高股息,1.168,0.0,,,,,0,,,,,,,,暂无TTM分红,暂无当前TTM分红,20240902,
