ts_code,latest_report_date,cash_like,strict_cash_like,total_liabilities,interest_debt,net_cash_after_all_liab,cash_to_liab,net_cash_to_mv,revenue_latest,revenue_cagr_3y,profit_latest,profit_cagr_3y,profit_positive_years,cfo_latest,cfo_positive_years,cfo_to_profit_latest,oneoff_ratio_latest,dps_latest,div_paid_latest,buyback_latest,shareholder_return_hkd,dps_yield_est,dividend_paid_yield_est,score,flags,name,fullname,market,list_date,price_hkd,total_mv_hkd,float_mv_hkd,turnover_hkd,pb,pe_ttm,pe_dynamic,ts_avg_amount_hkd,ts_median_amount_hkd,source_batch,financial_source,strict_net_cash
01846.HK,20251231,628226542.02,628226542.02,603150445.16,397419509.65999997,25076096.860000014,1.0415751941513498,0.033272466105696875,719000152.02,0.096654325730827,49180329.0,-0.14943564507103801,4,174999778.22,4,3.5583287419651057,-0.004058769513314968,,18403107.5,16628280.2,35031387.7,,0.04648174181138396,86.23652259440988,现金类资产>总负债;近年盈利稳定;经营现金流稳定;股东回报率较高,德视佳,德视佳国际眼科有限公司,主板,20191015,2.35,753659100.0,753659100.0,44480.0,0.6002164502164502,13.845670995670996,13.845670995670996,158477.22222222222,56030.0,补充宽筛,cache,True
01051.HK,20251231,5028523009.6,4571686153.6,263123128.0,,4765399881.6,19.110912247896355,1.313124785007112,218307499.2,0.05265350615097919,693538724.8,,3,61009984.0,4,0.08796910946478703,0.9046731055730661,,48758785.6,,48758785.6,,0.013435676217944333,85.8883750343386,现金类资产>总负债;近年盈利稳定;经营现金流稳定;一次性/其他收益占比较高,国际资源,国际资源集团有限公司,主板,19940429,8.05,3629053335.989078,3629053335.989078,152601.0,0.2833131067961165,4.728398058252427,4.728398058252427,530554.311,487390.28,原始初筛,cache,True
01361.HK,20251231,4093846000.0,4093846000.0,3861103000.0,309472000.0,232743000.0,1.0602788892189616,0.026380720181748193,11145829000.0,0.1699048264414471,1308884000.0,0.20551008181008523,4,814615000.0,4,0.6223737168458015,0.22448742592926493,,584458000.0,,584458000.0,,0.06624655932072795,85.7764215848846,现金类资产>总负债;近年盈利稳定;经营现金流稳定;股东回报率较高,361度,361度国际有限公司,主板,20090630,4.07,8822465740.0,8822465740.0,12001230.0,0.7504964539007092,6.090567375886525,6.090567375886525,33672988.303,27659790.5,原始初筛,cache,True
00867.HK,20251231,8487662000.0,5402760000.0,1656092000.0,690079000.0,6831570000.0,5.1251150298413375,0.2773864164688922,8212058000.0,-0.03542023261273186,1488892000.0,-0.2298181131290502,4,758421000.0,4,0.509386174416949,0.20322427684479466,,660555000.0,,660555000.0,,0.026820918812309483,85.52449411781218,现金类资产>总负债;近年盈利稳定;经营现金流稳定,康哲药业,康哲药业控股有限公司,主板,20100928,10.12,24628350901.11968,24628350901.11968,42224960.0,1.2812660731948566,14.944767556874382,14.944767556874382,64366925.5895,67720690.71000001,原始初筛,cache,True
02218.HK,20251231,409073825.25,409073825.25,156482138.22,,252591687.03,2.61418862180218,0.034077416356131054,1677163545.44,0.16327820537050286,330345077.62,0.19342547452472747,4,491783138.2,2,1.4886952205950656,0.035784994694542716,,82754645.0,,82754645.0,,0.011164518223966267,85.24324544780855,现金类资产>总负债;近年盈利稳定,安德利果汁,烟台北方安德利果汁股份有限公司,主板,20110119,22.18,7412289839.999999,1411801359.9999998,28999880.0,2.2979279279279274,20.890253890253888,20.890253890253888,119433303.693,31189562.5,补充宽筛,cache,True
02457.HK,20251231,227026000.0,227026000.0,95722000.0,6148000.0,131304000.0,2.3717222790998935,0.410325,404827000.0,-0.027631845514376696,11064000.0,-0.41041145732606676,4,30943000.0,3,2.7967281272595805,0.06579898770788142,,,,0.0,,0.0,84.77561214750543,现金类资产>总负债;近年盈利稳定;经营现金流稳定,步阳国际,步阳国际控股有限公司,主板,20221215,0.32,320000000.0,320000000.0,16150.0,0.7,26.12,26.12,54622.36842105263,50250.0,补充宽筛,cache,True
01419.HK,20251231,428605889.82,428605889.82,241154320.68,108413496.6,187451569.14,1.7773096024629766,0.667399396753181,309218270.22,-0.20202945477718814,16485571.44,-0.5901719607682585,4,62299599.5,3,3.7790379136532986,0.07697786543940391,,,,0.0,,0.0,84.74622880711162,现金类资产>总负债;近年盈利稳定;经营现金流稳定,盈健医疗,盈健医疗集团有限公司,主板,20160401,0.74,280868652.34210527,280868652.34210527,14800.0,0.3602631578947368,10.116578947368422,10.116578947368422,48650.66666666666,34500.0,补充宽筛,cache,True
02172.HK,20251231,1018033000.0,611254000.0,314867000.0,15940000.0,703166000.0,3.233215929265372,0.1197989812953294,790483000.0,0.1303401063355234,184510000.0,,3,202023000.0,4,1.0949162647011002,0.2573844236084765,,84044000.0,29740000.0,113784000.0,,0.019385475531677812,84.40314339453568,现金类资产>总负债;近年盈利稳定;经营现金流稳定,微创脑科学,微创脑科学有限公司,主板,20220715,10.28,5869549076.269268,5869549076.269268,16020600.0,2.978692682926829,28.733853658536585,28.733853658536585,30791177.378,23883645.0,补充宽筛,cache,True
02306.HK,20251231,1014277000.0,766820000.0,574825000.0,61951000.0,439452000.0,1.7644970208324273,0.28755646341277635,906972000.0,-0.025567518497538244,64168000.0,-0.6661477660663444,3,112598000.0,3,1.7547375638947762,0.19070253085650168,,,69239000.0,69239000.0,,0.045306704646325933,83.70333132436609,现金类资产>总负债;近年盈利稳定;经营现金流稳定;股东回报率较高,乐华娱乐,乐华娱乐集团,主板,20230119,1.84,1528228560.0000002,1528228560.0000002,124290.0,0.9781052631578948,21.508631578947373,21.508631578947373,503984.4444444445,381610.0,原始初筛,cache,True
02190.HK,20251231,1731852000.0,1711765000.0,343833000.0,63640000.0,1388019000.0,5.036898726998281,0.23627228657148053,1057488000.0,0.4682634586874168,244370000.0,,2,384862000.0,3,1.574915087776732,0.1202889061668781,,32687000.0,118975000.0,151662000.0,,0.025816309089431683,83.68110314018452,现金类资产>总负债;经营现金流稳定,归创通桥,归创通桥医疗科技股份有限公司,主板,20210705,17.66,5874658514.298825,5737241515.273643,3456201.5,1.6701398992725238,21.71181869054281,21.71181869054281,11100703.1025,9967599.75,原始初筛,cache,True
00241.HK,20260331,10165424000.0,9865010000.0,5236540000.0,59755000.0,4928884000.0,1.941248228792294,0.09582285518975811,16697093000.0,0.13233217023022448,1266629000.0,0.9839842229942446,4,563475000.0,4,0.4448619129989918,0.40646235006462034,,,,0.0,,0.0,83.1569809045139,现金类资产>总负债;近年盈利稳定;经营现金流稳定,阿里健康,阿里健康信息技术有限公司,主板,19720706,3.18,51437457068.45538,51437457068.45538,237698229.98,2.544,23.45372307692308,23.45372307692308,409904210.689,399559539.305,补充宽筛,cache,True
02057.HK,20251231,25632425000.0,10011533000.0,23887584000.0,11477577000.0,1744841000.0,1.0730438457066231,0.013394323642180857,49098667000.0,0.11544865199670928,9080651000.0,0.10071958238333556,4,11968419000.0,4,1.3180133230536004,0.09261230279635238,,3755452000.0,1252741000.0,5008193000.0,,0.038445541974600934,82.50991159191368,现金类资产>总负债;近年盈利稳定;经营现金流稳定,中通快递-W,中通快递(开曼)有限公司,主板,20200929,169.2,130267197255.50143,95395077255.50143,155975059.3,1.852626674432149,12.6530460104834,12.6530460104834,305132584.8515,256545146.375,补充宽筛,cache,True
08030.HK,20251231,173454000.0,173454000.0,100038000.0,18070000.0,73416000.0,1.7338811251724344,0.13917352555572632,113651000.0,0.1401991455956355,47503000.0,1.6321124338493282,4,126488000.0,1,2.6627370902890344,-0.0003578721343915121,,,,0.0,,0.0,82.43663666199544,现金类资产>总负债;近年盈利稳定,丰银禾控股,丰银禾控股有限公司,创业板,20120507,1.51,527514121.0,527514121.0,498980.0,1.9695652173913043,10.02836956521739,10.02836956521739,742867.9,416940.0,补充宽筛,cache,True
06820.HK,20251231,840177000.0,483667000.0,194599000.0,71025000.0,645578000.0,4.3174785070837975,0.7893900696211721,1248103000.0,-0.06448371830437138,93165000.0,0.5480901953146398,2,117195000.0,2,1.2579294799549188,0.3559491225245532,,,,0.0,,0.0,82.42228748328347,现金类资产>总负债,友谊时光,友谊时光股份有限公司,主板,20191008,0.375,817818750.0000001,817818750.0000001,11940.0,0.5958904109589042,7.931506849315069,7.931506849315069,371328.425,308835.0,补充宽筛,cache,True
06821.HK,20251231,7437534000.0,6320950000.0,2631326000.0,309184000.0,4806208000.0,2.8265346065063772,0.12323476639088451,6670181000.0,-0.13286903236604386,1132570000.0,-0.2999775020783487,4,1407586000.0,4,1.242824726065497,0.3464209717721642,,395066000.0,174427000.0,569493000.0,,0.014602226290714842,82.13842025515964,现金类资产>总负债;近年盈利稳定;经营现金流稳定,凯莱英,凯莱英医药集团(天津)股份有限公司,主板,20211210,108.1,39000422857.583374,3008910531.583378,121172748.0,1.9134808418780351,31.33908256880733,31.33908256880733,44520484.845,35660647.2,补充宽筛,cache,True
03918.HK,20251231,2616632462.3999996,2616632462.3999996,2583618188.8,1292666608.0,33014273.599999428,1.0127783097917162,0.002120523596244999,4988149582.4,0.15844981756984122,2178274321.6,0.42867780689767,4,2731005096.0,4,1.2537470918694964,0.024039469905487776,,313758603.2,,313758603.2,,0.020152874773851855,82.05130348203649,现金类资产>总负债;近年盈利稳定;经营现金流稳定,金界控股,金界控股有限公司,主板,20061019,3.52,15568925362.80226,15568925362.80226,5976871.42,0.8352542372881355,6.453333333333333,6.453333333333333,16420835.4255,14086571.5,原始初筛,cache,True
01698.HK,20251231,24316000000.0,24233000000.0,19472000000.0,3813000000.0,4844000000.0,1.2487674609695973,0.04787953118062376,32902000000.0,0.051023900953429235,11056000000.0,0.44333829103178846,4,10231000000.0,4,0.9253798842257598,0.33339363241678727,,2035000000.0,390000000.0,2425000000.0,,0.023969418479152068,81.83702782489298,现金类资产>总负债;近年盈利稳定;经营现金流稳定,腾讯音乐-SW,腾讯音乐娱乐集团,主板,20220921,32.14,101170581260.0,47659112429.69864,44653594.0,1.1988277087033747,10.161492007104796,10.161492007104796,68562562.58199999,62562766.70999999,补充宽筛,cache,True
00083.HK,20251231,49470262620.0,48052207220.0,14088425560.0,2735853380.0,35381837060.0,3.5114117194512118,0.3508494616914704,4683195700.0,-0.06347042100533185,1384636260.0,-0.14266651470636071,4,137289440.0,4,0.09915198956294846,-0.2420091324200913,0.14,629544340.0,,629544340.0,0.013307984790874526,0.006242617997063152,81.42626240855884,现金类资产>总负债;近年盈利稳定;经营现金流稳定,信和置业,信和置业有限公司,主板,19810408,10.52,100846205918.1212,100846205918.1212,61828329.4,0.5877651515151514,27.01727272727273,27.01727272727273,157830473.1875,114085355.945,补充宽筛,cache,True
09899.HK,20251231,12175076000.0,12175076000.0,3592055000.0,6196000.0,8583021000.0,3.3894458742975817,0.3958033166095361,7759450000.0,-0.04796118372030378,2748210000.0,,3,1618081000.0,4,0.5887763307753047,0.07251920340876425,,,1902000.0,1902000.0,,8.771013238710911e-05,81.19914631076597,现金类资产>总负债;近年盈利稳定;经营现金流稳定,网易云音乐,网易云音乐股份有限公司,主板,20211202,103.1,21685065889.6,21685065889.6,82449170.65,1.572874418604651,7.125888372093023,7.125888372093023,178766186.9105,134243826.8,原始初筛,cache,True
00280.HK,20250930,416741589.74,398763187.58,227220636.44,163146787.05999997,189520953.3,1.834083366147269,0.4482218720604257,380045271.62,0.006172152454465563,36262652.62,0.012511638648736723,4,3214602.58,4,0.08864775044688941,-0.31103502102268443,,3651.92,,3651.92,,8.636883629557543e-06,81.14705638525636,现金类资产>总负债;近年盈利稳定;经营现金流稳定,景福集团,景福集团有限公司,主板,19880328,0.465,422828436.3473684,422828436.3473684,121660.0,0.5090526315789474,4.65,4.65,129272.5,80010.0,原始初筛,cache,True
00690.HK,20251231,152483406.84,152483406.84,150436710.32,88296077.54,2046696.5200000107,1.013605033742405,0.004179996655364615,529477499.42,0.10416361306567734,84294812.94,0.3481576379666669,4,80196903.8,4,0.9513859869062543,0.0903168429286273,,14939258.8,,14939258.8,,0.030510655198468833,80.95540565282961,现金类资产>总负债;近年盈利稳定;经营现金流稳定,联康生物科技集团,联康生物科技集团有限公司,主板,20011112,0.082,489640707.5764706,489640707.5764706,297920.0,1.1865882352941175,5.248,5.248,143948.05,109830.0,原始初筛,cache,True
06090.HK,20251231,912762000.0,882607000.0,365065000.0,22394000.0,547697000.0,2.500272554202676,0.20803429754524844,1445823000.0,0.2925488311119733,65198000.0,-0.25057870151994155,4,110078000.0,4,1.688364673762999,0.6025951716310316,,,,0.0,,0.0,80.59275006085676,现金类资产>总负债;近年盈利稳定;经营现金流稳定;一次性/其他收益占比较高,不同集团,不同集团,主板,20250923,29.16,2632724538.5144887,2632724538.5144887,38196788.8,2.1813956238911887,36.471555292726194,36.471555292726194,69398009.897,57127019.3,补充宽筛,cache,True
09998.HK,20251231,813904553.0,813904553.0,807501615.2,14323366.4,6402937.799999952,1.0079293188762404,0.02163154662162146,643825494.2,0.32338061535289153,37691633.0,2.8747925043174396,4,304644466.0,4,8.082548877624909,0.16813902968863143,,,,0.0,,0.0,80.47116412945468,现金类资产>总负债;近年盈利稳定;经营现金流稳定,光荣控股,光荣建筑控股有限公司,主板,20200108,0.37,296000000.0,296000000.0,140650.0,0.8753658536585366,2.716341463414634,2.716341463414634,87694.44444444444,54237.5,原始初筛,cache,True
01882.HK,20251231,14408211000.0,6126728000.0,12670054000.0,3258821000.0,1738157000.0,1.1371862345653776,0.05704928245180788,17733166000.0,0.12944237110434864,3301137000.0,0.13384320466359734,4,3479819000.0,4,1.0541274112525472,0.2190054517579852,,1076520000.0,,1076520000.0,,0.03533322567812932,80.46392640704101,现金类资产>总负债;近年盈利稳定;经营现金流稳定,海天国际,海天国际控股有限公司,主板,20061222,19.09,30467640000.0,30467640000.0,29484671.06,1.1937416020671834,8.336459948320412,8.336459948320412,45521177.601,39922271.07,原始初筛,cache,True
02167.HK,20251231,375879000.0,266105000.0,159355000.0,8301000.0,216524000.0,2.3587524708983088,0.3951252676517292,549685000.0,0.12775001237205563,60822000.0,,2,42514000.0,3,0.698990496859689,0.18457137220084838,,15870000.0,509000.0,16379000.0,,0.029889327551992723,79.66587005649282,现金类资产>总负债;经营现金流稳定,天润云,天润云股份有限公司,主板,20220630,3.16,547988240.0,547988240.0,30498.0,0.901529411764706,8.14164705882353,8.14164705882353,120105.7,97951.0,补充宽筛,cache,True
01709.HK,20250930,667660448.04,667660448.04,394379057.62,81576588.96,273281390.41999996,1.6929409286314525,0.12761225393960426,128492783.46,0.21605790334160901,16345381.23,0.3089642349665489,3,108412723.08,1,6.632621261902497,0.0,,,33780260.0,33780260.0,,0.01577412611462758,79.42625531211905,现金类资产>总负债;近年盈利稳定,德林控股,德林控股集团有限公司,主板,20170927,1.07,2141498030.035088,2141498030.035088,6110660.0,1.0793859649122808,6.495087719298247,6.495087719298247,5861840.177,5529818.45,原始初筛,cache,True
02559.HK,20251231,1503541000.0,1162289000.0,565904000.0,17310000.0,937637000.0,2.6568834996748567,0.6975379596726697,502441000.0,-0.04066322796827326,129814000.0,,3,78392000.0,4,0.603879396675243,0.6466405780578366,,,,0.0,,0.0,79.23195559147062,现金类资产>总负债;近年盈利稳定;经营现金流稳定;一次性/其他收益占比较高,嘀嗒出行,嘀嗒出行,主板,20240628,1.32,1344209282.0869567,1344209282.0869567,435100.0,0.8321739130434784,9.354782608695652,9.354782608695652,1621745.577,1317805.0,原始初筛,cache,True
01104.HK,20251231,4619276627.04,1401909439.28,803599350.1,510953360.44,3815677276.94,5.74823340320668,1.1981370662221802,421633031.42,0.6302872722331931,1680043393.2,,2,92338890.26,2,0.054962205520252036,0.8582131759190564,,146682024.78,,146682024.78,,0.046058709393363054,79.12894541069713,现金类资产>总负债;一次性/其他收益占比较高;股东回报率较高,亚太资源,亚太资源有限公司,主板,19981229,1.38,3184675096.457143,3184675096.457143,10789400.0,0.345,1.320857142857143,1.320857142857143,18870909.1055,13814667.5,原始初筛,cache,True
