ts_code,end_date,revenue,profit_owner,cfo,dividend_paid,buyback,oneoff,oneoff_to_profit,cash_like,total_liabilities,interest_debt,cash_to_liab,cash_to_interest_debt,cfo_to_profit,payout_cash
01995.HK,20221231,6276479000.0,480111000.0,-1019717000.0,414760000.0,29859000.0,,,1549964000.0,3210473000.0,76163000.0,0.48278368950618805,20.350616441054054,-2.1239192603377135,0.8638835602600232
01995.HK,20231231,6537423000.0,434472000.0,913103000.0,199982000.0,6143000.0,,,2345774000.0,3615609000.0,44951000.0,0.6487908399387212,52.18513492469578,2.101638310408956,0.46028742933952016
01995.HK,20241231,6841135000.0,477996000.0,684808000.0,402306000.0,20631000.0,,,2621781000.0,3830612000.0,35548000.0,0.6844287544653439,73.75326319342861,1.4326647084912845,0.8416513945723395
01995.HK,20251231,6866231000.0,437449000.0,508570000.0,309829000.0,3339000.0,,,2767933000.0,4003898000.0,36491000.0,0.6913095688251799,75.85248417417993,1.162581238041463,0.7082631346739848
02156.HK,20221231,2290473000.0,247212000.0,495751000.0,69412000.0,,,,2703119000.0,2033870000.0,10000000.0,1.32905200430706,270.3119,2.0053678624015014,0.28077925019821043
02156.HK,20231231,3569324000.0,467347000.0,185527000.0,125132000.0,,,,2952395000.0,1971513000.0,19603000.0,1.4975275334223006,150.60934550834057,0.3969791182996788,0.2677496592467695
02156.HK,20241231,3292901000.0,323477000.0,265153000.0,397248000.0,,,,2894833000.0,2064331000.0,9508000.0,1.4023104821852697,304.46287336979384,0.8196966090324814,1.2280563996822031
02156.HK,20251231,3880549000.0,358909000.0,598938000.0,209717000.0,,,,3414435000.0,2511154000.0,9006000.0,1.3597075288891083,379.12891405729516,1.6687739789194476,0.5843180304756916
