ts_code,latest_report_date,cash_like,strict_cash_like,total_liabilities,interest_debt,net_cash_after_all_liab,cash_to_liab,net_cash_to_mv,revenue_latest,revenue_cagr_3y,profit_latest,profit_cagr_3y,profit_positive_years,cfo_latest,cfo_positive_years,cfo_to_profit_latest,oneoff_ratio_latest,dps_latest,div_paid_latest,buyback_latest,shareholder_return_hkd,dps_yield_est,dividend_paid_yield_est,score,flags,name,fullname,market,list_date,price_hkd,total_mv_hkd,float_mv_hkd,turnover_hkd,pb,pe_ttm,pe_dynamic,ts_avg_amount_hkd,ts_median_amount_hkd,quote_time,quote_source,financial_source,strict_net_cash,liquidity_bucket
01788.HK,20251231,79515771146.48,6839087001.9,124219503376.4,10939811478.64,-44703732229.92,0.6401230803953359,-2.4055743859448175,5627067825.76,0.3961154257735131,1215150639.88,1.5674263184283506,4,-7481644032.44,2,-6.156968351824129,-0.013296128751243166,,602730447.86,19860001.36,622590449.22,,0.03350251898151614,43.57297114157089,现金类资产>有息负债;近年盈利稳定,国泰君安国际,国泰君安国际控股有限公司,主板,20100708,1.95,18583392179.0625,18583392179.0625,128062725.0,1.171875,13.809375000000001,13.809375000000001,122386062.03599998,108106871.04,2026/06/25 15:11:26,tencent,cache,False,高
00552.HK,20251231,18319559000.0,18319559000.0,87593864000.0,1961413000.0,-69274305000.0,0.20914203533708708,-2.571218209187743,150092609000.0,0.021659399117198053,3610019000.0,0.024257715508471556,4,937716000.0,4,0.2597537575287,0.4741440419011645,,1602184000.0,,1602184000.0,,0.05946742699575629,42.478240602379515,现金类资产>有息负债;近年盈利稳定;经营现金流稳定;股东回报率较高,中国通信服务,中国通信服务股份有限公司,主板,20061208,3.89,26942211576.0,9302624733.985147,24806825.21,0.5103217821782178,6.74009900990099,6.74009900990099,46961255.171500005,42167133.06,2026/06/25 15:06:58,tencent,cache,False,中
02357.HK,20251231,30439375940.0,30439375940.0,107222848145.0,16669935781.0,-76783472205.0,0.28388889557229546,-3.3910608489920184,89442248717.0,0.04330360613259354,1765126860.0,-0.08714616076308035,4,-8121336834.0,2,-4.600993287247354,0.9099953994241524,,2790225905.0,,2790225905.0,,0.12322737634249219,42.447132111949884,现金类资产>有息负债;近年盈利稳定;一次性/其他收益占比较高;股东回报率较高,中航科工,中国航空科技工业股份有限公司,主板,20031030,2.84,22642906047.47586,17638282453.848274,35692943.0,0.5875862068965517,11.585241379310345,11.585241379310345,96002172.9455,64945927.25,2026/06/25 15:11:44,tencent,cache,False,中
00526.HK,20250930,1072312000.0,1072312000.0,1510036000.0,732758000.0,-437724000.0,0.7101234672550853,-0.3535270002389853,1115871000.0,-0.04407451501615034,44619000.0,-0.7287821889331368,3,221948000.0,3,4.974293462426321,0.23393621551357044,,,,0.0,,0.0,42.31855582060493,现金类资产>有息负债;近年盈利稳定;经营现金流稳定,利时集团控股,利时集团(控股)有限公司,主板,19951011,0.14,1238162855.1824818,1238162855.1824818,266476.0,0.4496350364963504,10.617518248175184,10.617518248175184,253196.2105263158,212920.0,2026/06/25 14:47:42,tencent,cache,False,低
09878.HK,20251231,6661954000.0,2643239000.0,20484565000.0,665925000.0,-13822611000.0,0.3252182313854358,-3.4888937018654804,52297458000.0,-0.1395969962279624,300294000.0,-0.017241536005637936,4,418971000.0,4,1.3952027013526744,0.24912252659060788,,39100000.0,12944000.0,52044000.0,,0.013136156679797114,41.62209574049832,现金类资产>有息负债;近年盈利稳定;经营现金流稳定,汇通达网络,汇通达网络股份有限公司,主板,20220218,7.06,3961889407.1232877,3732060391.5068493,1238279.0,0.44487671232876713,11.91495890410959,11.91495890410959,1981728.7,1885535.5,2026/06/25 15:06:57,tencent,cache,False,中低
00874.HK,20251231,14940092971.81,14940092971.81,44428271347.94,12499068164.509998,-29488178376.130005,0.3362744603499574,-1.2639542147958263,77656109939.23,0.0313474820419275,2983113594.8,-0.09060345480005239,4,-232460774.72,3,-0.07792555239103628,0.3043409997871261,,1698641852.98,,1698641852.98,,0.07280902543782136,41.431486824199084,现金类资产>有息负债;近年盈利稳定;经营现金流稳定;股东回报率较高,白云山,广州白云山医药集团股份有限公司,主板,19971030,14.35,23330100118.296925,3155564999.9999995,15202400.0,0.5191467576791808,6.964402730375427,6.964402730375427,15634532.2925,13786275.0,2026/06/25 15:08:55,tencent,cache,False,中
00659.HK,20251231,112701352906.0,18895001112.0,127332884652.0,63884389312.0,-14631531746.0,0.8850922777255232,-0.4108052622659956,11585422296.0,-0.0034767783372940952,1205166446.0,0.16507740635960988,4,73160820.0,3,0.06070598815858502,3.403957131079967,,1323578588.0,,1323578588.0,,0.037161731144221666,41.29449217853087,现金类资产>有息负债;近年盈利稳定;经营现金流稳定;一次性/其他收益占比较高,周大福创建,周大福创建有限公司,主板,19970425,7.8,35616709643.13527,35616709643.13527,7420376.88,0.9072060682680152,15.22528445006321,15.22528445006321,13146904.876,10956460.53,2026/06/25 15:11:19,tencent,cache,False,中低
09885.HK,20251231,1745463000.0,1037303000.0,5176350000.0,397028000.0,-3430887000.0,0.33719957112637283,-1.2014896855788681,20969650000.0,0.13677264717457982,152965000.0,,2,637700000.0,4,4.168927532442062,0.6001307488641192,,50786000.0,65816000.0,116602000.0,,0.04083378447552111,41.11815863656161,现金类资产>有息负债;经营现金流稳定;一次性/其他收益占比较高;股东回报率较高,药师帮,药师帮股份有限公司,主板,20230628,4.15,2855527634.71875,2855527634.71875,13159520.0,1.05046875,16.859375,16.859375,8072479.0945,7176894.0,2026/06/25 15:09:30,tencent,cache,False,中
00698.HK,20251231,1118541325.46,847332359.28,3534238441.04,991001242.14,-2415697115.58,0.31648722748056957,-6.265911170045176,4678891856.7,-0.13064628921130395,108707043.1,-0.0393868965978913,2,180961933.44,4,1.6646753354659134,1.0183955797432596,,27115567.62,,27115567.62,,0.07033321227917269,41.10565157325242,现金类资产>有息负债;经营现金流稳定;一次性/其他收益占比较高;股东回报率较高,通达集团,通达集团控股有限公司,主板,20001222,1.98,385530060.9955157,385530060.9955157,474634.0,0.13318385650224215,3.2052914798206276,3.2052914798206276,231375.65,116023.0,2026/06/25 15:09:47,tencent,cache,False,低
02621.HK,20251231,801200000.0,201680000.0,1097009000.0,19041000.0,-295809000.0,0.7303495231123901,-0.39144105114842176,1469249000.0,0.22144464254250096,793317000.0,0.8232940669604969,2,84291000.0,3,0.10625134719160184,0.016481431760569862,,,785000.0,785000.0,,0.0010387825426255153,40.84710295684191,现金类资产>有息负债;经营现金流稳定,手回集团,手回集团有限公司,主板,20250530,3.35,755692330.0,755692330.0,243608.0,0.52,0.86,0.86,234892.2,138950.0,2026/06/25 14:56:12,tencent,cache,False,低
