ts_code,latest_report_date,cash_like,strict_cash_like,total_liabilities,interest_debt,net_cash_after_all_liab,cash_to_liab,net_cash_to_mv,revenue_latest,revenue_cagr_3y,profit_latest,profit_cagr_3y,profit_positive_years,cfo_latest,cfo_positive_years,cfo_to_profit_latest,oneoff_ratio_latest,dps_latest,div_paid_latest,buyback_latest,shareholder_return_hkd,dps_yield_est,dividend_paid_yield_est,score,flags,name,fullname,market,list_date,price_hkd,total_mv_hkd,float_mv_hkd,turnover_hkd,pb,pe_ttm,pe_dynamic,ts_avg_amount_hkd,ts_median_amount_hkd,source_batch,financial_source,strict_net_cash
02420.HK,20251231,555856000.0,555856000.0,632780000.0,215009000.0,-76924000.0,0.878434843073422,-0.04027434554973822,4660244000.0,0.14973179273910642,269215000.0,0.34480213815818206,3,147446000.0,4,0.547688650335234,0.020203183329309288,,53523000.0,6002000.0,59525000.0,,0.031164921465968585,70.55202785221016,现金类资产>有息负债;近年盈利稳定;经营现金流稳定,子不语,子不语集团有限公司,主板,20221111,3.82,1910000000.0,1910000000.0,187245.0,2.1044908616187987,6.403237597911227,6.403237597911227,301880.0,288757.5,补充宽筛,cache,False
00232.HK,20251231,859260282.6,859260282.6,923343741.6,255906612.94,-64083459.0,0.9305963141213758,-0.01766203828007227,1805772520.42,0.06670397691161667,84962292.52,0.2322592647043853,4,225685774.96,4,2.6563051474496633,0.859077668870793,,42015084.74,,42015084.74,,0.011579774977788889,70.27832680267846,现金类资产>有息负债;近年盈利稳定;经营现金流稳定;一次性/其他收益占比较高,大陆航空科技控股,大陆航空科技控股有限公司,主板,19911212,0.39,3628316165.088608,3628316165.088608,6538020.0,1.1749367088607594,38.575443037974686,38.575443037974686,64858967.09473684,30896103.5,补充宽筛,cache,False
06936.HK,20251231,37413110000.0,20969400000.0,106144286000.0,27613483000.0,-68731176000.0,0.35247408419139964,-0.4362831080797824,308226647000.0,0.048384648621188076,11117216000.0,0.21312171761900722,4,27555275000.0,4,2.4786129009277142,0.18469651034935364,,5012105000.0,1643620000.0,6655725000.0,,0.0422483734240821,70.0845920415812,现金类资产>有息负债;近年盈利稳定;经营现金流稳定;股东回报率较高,顺丰控股,顺丰控股股份有限公司,主板,20241127,29.92,157538017693.39014,13939059856.19231,80103272.8,1.3254395604395606,12.360494505494506,12.360494505494506,58713266.16,45881674.5,补充宽筛,cache,False
01093.HK,20251231,8865480000.0,8865480000.0,12147797000.0,641109000.0,-3282317000.0,0.729801461120893,-0.0430306231243023,26005980000.0,-0.05623154279526521,3882108000.0,-0.1394348874132606,4,5831641000.0,4,1.5021841226467683,0.2610434846222722,,2504280000.0,418445000.0,2922725000.0,,0.03831643255998017,70.03911951562296,现金类资产>有息负债;近年盈利稳定;经营现金流稳定,石药集团,石药集团有限公司,主板,19940621,6.62,76278630465.52663,76278630465.52663,460641208.5,2.076094674556213,20.780532544378698,20.780532544378698,790688378.2497,682759013.985,补充宽筛,cache,False
02096.HK,20251231,3577616000.0,3577616000.0,5311043000.0,1186933000.0,-1733427000.0,0.6736183457750201,-0.07249820734753529,7731411000.0,0.06926927925125237,1344008000.0,0.13024150344262497,4,2013530000.0,4,1.4981532848018762,0.23772626353414564,,390746000.0,74302000.0,465048000.0,,0.019449994912134512,68.5374985648879,现金类资产>有息负债;近年盈利稳定;经营现金流稳定,先声药业,先声药业集团有限公司,主板,20201027,9.31,23909929133.701965,23909929133.701965,37011389.0,2.3173362445414845,16.068897379912666,16.068897379912666,66209720.97050001,63221312.07,补充宽筛,cache,False
02423.HK,20251231,47353143000.0,7773182000.0,50138344000.0,18278030000.0,-2785201000.0,0.9444496810664509,-0.021450782297736646,94580205000.0,0.15952023540975446,2993975000.0,,3,-376170000.0,3,-0.1256423316827963,0.0,,2883776000.0,6581195000.0,9464971000.0,,0.07289636632163736,68.52579163892354,现金类资产>有息负债;近年盈利稳定;经营现金流稳定;股东回报率较高,贝壳-W,贝壳控股有限公司,主板,20220511,37.5,129841465049.6862,124743315637.42154,325954691.86,1.8141997907949792,34.08734309623431,34.08734309623431,685690512.7655,597430342.26,补充宽筛,cache,False
01416.HK,20260228,498674176.0,484300241.6,575529500.0,15431001.600000001,-76855324.0,0.8664615384615385,-0.30163,739659840.5,0.5579285287591964,38506563.2,0.5174825252441377,4,165566022.1,3,4.299683179723502,0.15668202764976957,,,,0.0,,0.0,67.89004336051045,现金类资产>有息负债;近年盈利稳定;经营现金流稳定,CTR HOLDINGS,CTR Holdings Limited,主板,20200115,0.182,254800000.0,254800000.0,25490.0,0.5607070707070706,2.867878787878788,2.867878787878788,167637.0,73885.0,补充宽筛,cache,False
80291.HK,20251231,9960000000.0,6918000000.0,32669000000.0,2804000000.0,-22709000000.0,0.3048761823135082,-0.37194083605273953,37985000000.0,0.025095415399798204,3371000000.0,-0.08105473293801269,4,7127000000.0,4,2.114209433402551,-0.2468110353010976,,2764000000.0,,2764000000.0,,0.04527035408207195,67.49672947066065,现金类资产>有息负债;近年盈利稳定;经营现金流稳定;股东回报率较高,华润啤酒-R,华润啤酒(控股)有限公司,主板,20230619,18.82,61055409352.201294,61055409352.201294,94175.0,1.894155005382132,18.110958019375676,18.110958019375676,469228.4210526316,182920.0,补充宽筛,cache,False
03816.HK,20250930,193989077.42,193989077.42,225274163.08,67356925.46000001,-31285085.660000026,0.8611243951269726,-0.02660296399659866,419480529.74,0.10572849607880586,27255191.94,-0.02936002132872928,4,101181008.5,3,3.7123572170301142,-0.02998023649214484,,7121244.0,,7121244.0,,0.006055479591836735,67.30403513931635,现金类资产>有息负债;近年盈利稳定;经营现金流稳定,KFM金德,KFM金德控股有限公司,主板,20121015,1.96,1176000000.0,1176000000.0,311200.0,2.0124064171122997,26.47572192513369,26.47572192513369,1524326.0,1015500.0,补充宽筛,cache,False
06690.HK,20251231,60325000000.0,46268000000.0,169818000000.0,42564000000.0,-109493000000.0,0.3552332497144001,-0.5855555801470931,302329000000.0,0.07472468597451276,19553000000.0,0.09946285475446293,4,26003000000.0,4,1.3298726538127141,0.26625070321689764,,11580000000.0,1234000000.0,12814000000.0,,0.06852775249563763,67.0168648481852,现金类资产>有息负债;近年盈利稳定;经营现金流稳定;股东回报率较高,海尔智家,海尔智家股份有限公司,主板,20201223,19.94,186989935221.0,56900530084.0,220567428.71,1.32,8.92,8.92,536871726.8255,569254236.4449999,补充宽筛,cache,False
