ts_code,latest_report_date,cash_like,strict_cash_like,total_liabilities,interest_debt,net_cash_after_all_liab,cash_to_liab,net_cash_to_mv,revenue_latest,revenue_cagr_3y,profit_latest,profit_cagr_3y,profit_positive_years,cfo_latest,cfo_positive_years,cfo_to_profit_latest,oneoff_ratio_latest,dps_latest,div_paid_latest,buyback_latest,shareholder_return_hkd,dps_yield_est,dividend_paid_yield_est,score,flags,name,fullname,market,list_date,price_hkd,total_mv_hkd,float_mv_hkd,turnover_hkd,liquidity_ref_hkd,pb,pe_ttm,pe_dynamic,ts_avg_amount_hkd,ts_median_amount_hkd,quote_time,quote_source,financial_source
06811.HK,20251231,343622823.24,343622823.24,1386460764.4,946385787.02,-1042837941.1600001,0.2478417219319618,-1.0032899277040843,3196039453.9,0.10177492042217162,97638985.22,,3,664813274.56,4,6.808891684628263,0.10652075373955838,,118450077.24,22688886.4,141138963.64,,0.1357864870826359,74.18290194990061,非严格净现金;近年盈利稳定;经营现金流稳定;股东回报率较高,太兴集团,太兴集团控股有限公司,主板,20190613,1.07,1039418330.0,1039418330.0,0.0,550790.0,1.1617142857142857,9.619809523809524,9.619809523809524,526617.0995,550790.0,2026/06/30 09:20:36,tencent,cache
01538.HK,20251231,631322000.0,631322000.0,839593000.0,47286000.0,-208271000.0,0.7519381414566343,-0.3085064387282077,1843258000.0,0.026853759474351424,98185000.0,0.08482518208487533,4,140761000.0,4,1.4336303916076794,0.16467892244232826,,31751000.0,,31751000.0,,0.04703193404775184,73.89776344614464,现金类资产>有息负债;近年盈利稳定;经营现金流稳定;股东回报率较高,中奥到家,中奥到家集团有限公司,主板,20151125,0.79,675094499.9999999,675094499.9999999,0.0,417988.0,0.546923076923077,6.2085897435897435,6.2085897435897435,417988.0,267430.0,2026/06/30 09:20:36,tencent,cache
01086.HK,20251231,1271421245.8799999,1271421245.8799999,3922711556.6,1330275061.08,-2651290310.7200003,0.32411795451562614,-1.9322409099105757,7821168946.54,0.018295648918035923,197441182.34,0.8758275820522343,4,985940500.48,4,4.993590945895872,0.28386940351422935,,105474418.72,,105474418.72,,0.07686898185980855,73.48838489705308,非严格净现金;近年盈利稳定;经营现金流稳定;股东回报率较高,好孩子国际,好孩子国际控股有限公司,主板,20101124,0.82,1372132376.0,1372132376.0,0.0,1398645.0,0.22,6.28,6.28,1398645.0,1088700.0,2026/06/30 09:20:36,tencent,cache
00010.HK,20251231,6134670240.0,6134670240.0,73129207300.0,49782776740.0,-66994537060.0,0.08388809979620823,-3.8082154937554518,9406133080.0,-0.012681857662947826,1237411400.0,-0.2012197765224245,4,5475319640.0,4,4.424817518248175,-0.8175182481751825,,2093663960.0,,2093663960.0,,0.11901154752437054,73.18905452319441,非严格净现金;近年盈利稳定;经营现金流稳定;股东回报率较高,恒隆集团,恒隆集团有限公司,主板,19721012,12.92,17592107686.619827,17592107686.619827,13000.0,9362677.8415,0.18154566744730666,12.839313036690086,12.839313036690086,9362677.8415,8865294.719999999,2026/06/30 09:31:49,tencent,cache
01662.HK,20250930,468230922.8,468230922.8,549582005.7,319385054.46000004,-81351082.90000004,0.8519764438131785,-0.19745408470873793,439435533.6,0.12456225755130435,36185962.3,0.33912083418815553,4,123433070.04,4,3.4110760691308193,0.27493377065724744,,1825960.0,,1825960.0,,0.004431941747572815,72.98910459344539,现金类资产>有息负债;近年盈利稳定;经营现金流稳定,义合控股,义合控股有限公司,主板,20151218,0.8,412000000.00000006,412000000.00000006,55800.0,131756.6,0.744186046511628,8.753488372093024,8.753488372093024,131756.6,118990.0,2026/06/30 09:31:05,tencent,cache
01061.HK,20251231,708252806.79,706977480.02,973377734.53,313330712.17,-265124927.74,0.7276238007765641,-0.16945611334419342,1638266990.67,0.11650488894348454,287306300.24,0.12580256199533535,4,276673032.6,4,0.9629897860537081,0.038233919760283216,,66577050.71,293790.37,66870841.08,,0.04274088039200393,72.9693572092852,现金类资产>有息负债;近年盈利稳定;经营现金流稳定;股东回报率较高,亿胜生物科技,亿胜生物科技有限公司,主板,20110623,2.76,1564563959.9999995,1564563959.9999995,0.0,1746820.8,0.6506463878326995,4.9218250950570335,4.9218250950570335,1746820.8,1408985.0,2026/06/30 09:20:36,tencent,cache
01407.HK,20251231,221396000.0,221396000.0,248727000.0,70221000.0,-27331000.0,0.8901164730809281,-0.1129380165289256,334586000.0,-0.11057436267628717,28395000.0,-0.1762605402543579,4,16346000.0,4,0.5756647297059342,0.07480190174326466,,14892000.0,,14892000.0,,0.06153719008264462,72.85872948742843,现金类资产>有息负债;近年盈利稳定;经营现金流稳定;股东回报率较高,交运燃气,交运燃气有限公司,主板,20221116,0.55,242000000.00000003,242000000.00000003,0.0,115405.0,0.6991525423728814,7.7,7.7,115405.0,81280.0,2026/06/30 09:20:36,tencent,cache
01565.HK,20201231,773832000.0,773832000.0,4814693000.0,3385969000.0,-4040861000.0,0.16072302013856335,-7.47569471568512,372696000.0,-0.2686543626843916,225471000.0,-0.09715555953452182,4,820965000.0,4,3.641111273733651,0.34152950933822973,,214981000.0,,214981000.0,,0.3977202694358214,72.85154905974495,非严格净现金;近年盈利稳定;经营现金流稳定;股东回报率较高,成实外教育,成实外教育有限公司,主板,20160115,0.175,540533175.0,540533175.0,0.0,104290.44444444444,0.5506993006993006,13.583916083916083,13.583916083916083,104290.44444444444,65393.0,2026/06/30 09:20:36,tencent,cache
01525.HK,20251231,447112000.0,392078000.0,1171465000.0,282201000.0,-724353000.0,0.3816691066314401,-0.9333844468784226,1004586000.0,0.0833425176756768,242548000.0,0.025452349212257364,4,441671000.0,4,1.8209632732490064,0.20127974668931511,,72623000.0,,72623000.0,,0.09358031054700082,72.67138214337682,现金类资产>有息负债;近年盈利稳定;经营现金流稳定;股东回报率较高,建桥教育,上海建桥教育集团有限公司,主板,20200116,1.87,776050000.0000001,776050000.0000001,0.0,789676.5,0.2785106382978723,2.894521276595745,2.894521276595745,789676.5,674275.0,2026/06/30 09:20:36,tencent,cache
02539.HK,20251231,292159000.0,243868000.0,214196000.0,64503000.0,77963000.0,1.3639797195092345,0.19572285597401648,906778000.0,,93731000.0,,1,240835000.0,1,2.569427403953868,-0.006401297329592131,,25012000.0,,25012000.0,,0.06279158156589792,72.52067511651987,现金类资产>总负债;股东回报率较高,乐摩科技,乐摩科技服务股份有限公司,主板,20251203,7.17,398333652.0,166530563.11937377,0.0,396521.95,0.7226125244618395,3.8375636007827785,3.8375636007827785,396521.95,316793.5,2026/06/30 09:31:46,tencent,cache
