ts_code,latest_report_date,cash_like,strict_cash_like,total_liabilities,interest_debt,net_cash_after_all_liab,cash_to_liab,net_cash_to_mv,revenue_latest,revenue_cagr_3y,profit_latest,profit_cagr_3y,profit_positive_years,cfo_latest,cfo_positive_years,cfo_to_profit_latest,oneoff_ratio_latest,dps_latest,div_paid_latest,buyback_latest,shareholder_return_hkd,dps_yield_est,dividend_paid_yield_est,score,flags,name,fullname,market,list_date,price_hkd,total_mv_hkd,float_mv_hkd,turnover_hkd,pb,pe_ttm,pe_dynamic,ts_avg_amount_hkd,ts_median_amount_hkd,source_batch,financial_source
01709.HK,20250930,667660448.04,667660448.04,394379057.62,81576588.96,273281390.41999996,1.6929409286314525,0.11977641378541806,128492783.46,0.21605790334160901,16345381.23,0.3089642349665489,3,108412723.08,1,6.632621261902497,0.0,,,33780260.0,33780260.0,,0.014805539423378521,79.01030586227738,现金类资产>总负债;近年盈利稳定,德林控股,德林控股集团有限公司,主板,20170927,1.14,2281596032.0,2281596032.0,2351065.0,1.15,6.92,6.92,6509081.177,5861225.0,原始初筛,cache
00382.HK,20260228,1697849000.0,1584011000.0,4064670000.0,1975421000.0,-2366821000.0,0.4177089407012131,-3.795934593009071,2489038000.0,0.1386591046480814,513872000.0,-0.03253944417342547,4,914592000.0,4,1.779805087648286,0.18479310022729395,,78331000.0,,78331000.0,,0.12562815379996778,78.8888955476121,非严格净现金;近年盈利稳定;经营现金流稳定;股东回报率较高,中汇集团,中汇集团控股有限公司,主板,20190716,0.52,623514695.0,623514695.0,180540.0,0.12,1.51,1.51,472323.2675,391800.0,原始初筛,cache
02559.HK,20251231,1503541000.0,1162289000.0,565904000.0,17310000.0,937637000.0,2.6568834996748567,0.6672102222955972,502441000.0,-0.04066322796827326,129814000.0,,3,78392000.0,4,0.603879396675243,0.6466405780578366,,,,0.0,,0.0,78.74671179343747,现金类资产>总负债;近年盈利稳定;经营现金流稳定;一次性/其他收益占比较高,嘀嗒出行,嘀嗒出行,主板,20240628,1.38,1405309704.0,1405309704.0,1636360.0,0.87,9.78,9.78,1500748.1175000002,1273005.0,原始初筛,cache
01675.HK,20251231,1608322000.0,1445887000.0,3200462000.0,117681000.0,-1592140000.0,0.5025280725095315,-0.3257280550883601,6302140000.0,-0.06612139619749824,113738000.0,-0.484825459705176,4,407402000.0,3,3.5819339183034695,-0.03399919112345918,,406685000.0,112169000.0,518854000.0,,0.1061497759586569,78.67878921135488,现金类资产>有息负债;近年盈利稳定;经营现金流稳定;股东回报率较高,亚信科技,亚信科技控股有限公司,主板,20181219,5.2,4887942488.0,4887942488.0,115440112.0,0.68,38.82,38.82,16919261.3,12630121.8,补充宽筛,new
06693.HK,20251231,6820720561.54,6820720561.54,8470126514.4,925735019.6899999,-1649405952.8599997,0.8052678492988438,-0.03377122840471757,12638506229.12,0.2634273411565142,3082367791.68,0.897770432171753,4,5555589287.5,4,1.8023771538541826,0.011997237120702145,,395541589.64,,395541589.64,,0.008098628081301294,78.65912044267913,现金类资产>有息负债;近年盈利稳定;经营现金流稳定,赤峰黄金,赤峰吉隆黄金矿业集团股份有限公司,主板,20250310,25.7,48840567275.0,6078044860.0,78465210.0,3.02,12.19,12.19,195976743.951,181390570.34,补充宽筛,new
01104.HK,20251231,4619276627.04,1401909439.28,803599350.1,510953360.44,3815677276.94,5.74823340320668,1.1810208224190062,421633031.42,0.6302872722331931,1680043393.2,,2,92338890.26,2,0.054962205520252036,0.8582131759190564,,146682024.78,,146682024.78,,0.04540072783060073,78.65769104101764,现金类资产>总负债;一次性/其他收益占比较高;股东回报率较高,亚太资源,亚太资源有限公司,主板,19981229,1.4,3230829808.0,3230829808.0,10485196.0,0.35,1.34,1.34,18632251.993,13916225.0,原始初筛,cache
02167.HK,20251231,375879000.0,266105000.0,159355000.0,8301000.0,216524000.0,2.3587524708983088,0.3672340722880777,549685000.0,0.12775001237205563,60822000.0,,2,42514000.0,3,0.698990496859689,0.18457137220084838,,15870000.0,509000.0,16379000.0,,0.027779492665969706,78.58666046486749,现金类资产>总负债;经营现金流稳定,天润云,天润云股份有限公司,主板,20220630,3.4,589607600.0,589607600.0,57984.0,0.97,8.76,8.76,124083.4,102912.0,原始初筛,cache
01876.HK,20251231,20376491200.0,20376491200.0,31243016000.0,1946977600.0,-10866524800.0,0.652193475815523,-0.12741055572286863,40514003200.0,-0.03523246977196781,3437083200.0,-0.1854063324457078,4,6684388800.0,4,1.9447852760736197,0.1738241308793456,,5433262400.0,,5433262400.0,,0.06370527786143432,78.57676302066648,现金类资产>有息负债;近年盈利稳定;经营现金流稳定;股东回报率较高,百威亚太,百威亚太控股有限公司,主板,20190930,6.44,85287476680.0,85287476680.0,52016622.0,1.07,22.71,22.71,137607883.5505,104061418.475,补充宽筛,new
06198.HK,20251231,14486405958.0,14486405958.0,16462273693.0,3419682541.0,-1975867735.0,0.8799760123147408,-0.043798048994367386,18806323315.0,-0.00796173512491205,5271506093.0,0.05196610873352814,4,5548596729.0,4,1.0525638462920393,0.3560345413414663,,2715359382.0,,2715359382.0,,0.06018998192212048,78.38321246330086,现金类资产>有息负债;近年盈利稳定;经营现金流稳定;股东回报率较高,青岛港,青岛港国际股份有限公司,主板,20140606,6.95,45113145000.0,7638223750.0,27879663.0,0.85,7.68,7.68,28575310.08,29081605.83,原始初筛,cache
09896.HK,20251231,7033696000.0,7033696000.0,17914251000.0,10831016000.0,-10880555000.0,0.3926313190543104,-0.38789769863998114,21443827000.0,0.59679689238581,1205045000.0,0.16399982866791563,4,2577891000.0,4,2.1392487417482333,0.17840578567605359,,1357748000.0,535249000.0,1892997000.0,,0.06748637177353438,78.24603924204389,非严格净现金;近年盈利稳定;经营现金流稳定;股东回报率较高,名创优品,名创优品集团控股有限公司,主板,20220713,22.64,28050063298.0,28050063298.0,49996684.0,2.26,12.2,12.2,142606447.55699998,120327087.86,补充宽筛,new
