end_date,revenue,profit_owner,cfo,dividend_paid,buyback,shareholder_return,cash_like,total_liabilities,cash_to_liab,cfo_to_profit,ts_code,name
20251231,1667135143.7,284370384.48,265060405.09,33143735.25,,33143735.25,341926826.56,1154717201.77,0.29611304485278295,0.9320956736570503,01596.HK,翼辰实业
20211231,1977626414.4,215888097.6,167729822.4,,,0.0,1290776188.8,5662088488.0,0.22796821200085773,0.77692945680948,00154.HK,北京控股环境集团
20221231,2205356000.0,303755000.0,652898000.0,,,0.0,2373654000.0,7130826000.0,0.3328722366805753,2.1494230547645308,00154.HK,北京控股环境集团
20231231,1611798000.0,190954000.0,560008000.0,,,0.0,1209940000.0,6240802000.0,0.19387572302406006,2.9326853587775066,00154.HK,北京控股环境集团
20241231,1664124000.0,286151000.0,401364000.0,,,0.0,1350768000.0,6092668000.0,0.22170385781729776,1.402630079922838,00154.HK,北京控股环境集团
20251231,1420814000.0,232178000.0,545237000.0,,,0.0,1608062000.0,5988870000.0,0.2685084164458404,2.3483577255381647,00154.HK,北京控股环境集团
20211231,3123274000.0,17656000.0,-368214000.0,44167000.0,,44167000.0,600079000.0,1335290000.0,0.44939975585827796,-20.854893520616223,01778.HK,彩生活
20221231,1311037000.0,31358000.0,327374000.0,11758000.0,,11758000.0,757116000.0,1384387000.0,0.5468962074911135,10.439887747943109,01778.HK,彩生活
20231231,1523179000.0,23007000.0,86180000.0,16042000.0,,16042000.0,947904000.0,1386047000.0,0.6838902288306241,3.7458164906332856,01778.HK,彩生活
20241231,1951321000.0,18953000.0,91342000.0,17169000.0,,17169000.0,994119000.0,1435483000.0,0.6925327572670662,4.819395346383159,01778.HK,彩生活
20251231,2097055000.0,23987000.0,122453000.0,17249000.0,,17249000.0,2249750000.0,1466916000.0,1.533659732390948,5.104973527327302,01778.HK,彩生活
20210331,1752592293.76,1413986.14,66447206.42,1084365.94,,1084365.94,100659247.64,1650012797.16,0.06100513148337672,46.992827256425585,01001.HK,沪港联合
20220331,2277234979.0,53123588.03,63815132.86,13946938.97,261145.22,14208084.190000001,153224930.31,1828010862.93,0.08382057974448012,1.2012579576507947,01001.HK,沪港联合
20230331,2327260852.21,72524216.86,2804813.64,14978265.1,,14978265.1,129109843.85,1649944754.88,0.07825101020390837,0.038674166525843136,01001.HK,沪港联合
20240331,2087944202.8,71419822.1,200749151.65,17942437.6,417919.55,18360357.150000002,131725341.2,1457771381.65,0.09036076771578869,2.810832423650073,01001.HK,沪港联合
20250331,1948836085.32,82701256.11,209763873.15,18341246.25,484485.75,18825732.0,165168113.4,1348602536.91,0.12247353010208864,2.536404923173059,01001.HK,沪港联合
20211231,1462235000.0,51518000.0,84889000.0,8289000.0,,8289000.0,43293000.0,1036526000.0,0.04176740380849105,1.6477541830039986,00096.HK,YUSEI
20221231,1765736000.0,55355000.0,98771000.0,8260000.0,,8260000.0,58706000.0,1497884000.0,0.03919262105743836,1.7843193930087615,00096.HK,YUSEI
20231231,1942475000.0,79096000.0,340469000.0,8120000.0,,8120000.0,58238000.0,1687257000.0,0.034516377765805684,4.3045033882876504,00096.HK,YUSEI
20241231,2024350000.0,89733000.0,325694000.0,8643000.0,,8643000.0,188892000.0,2036774000.0,0.09274077536339329,3.6295900059064112,00096.HK,YUSEI
20251231,2161944000.0,101404000.0,181440000.0,8265000.0,,8265000.0,286532000.0,2210485000.0,0.1296240417826857,1.78927852944657,00096.HK,YUSEI
20211231,1462777000.0,-392773000.0,-27003000.0,,,0.0,12853000.0,2174209000.0,0.0059115751981525235,0.06874963401252122,01148.HK,新晨动力
20221231,1652481000.0,-115829000.0,-176249000.0,,,0.0,59059000.0,2481205000.0,0.023802547552499692,1.5216310250455414,01148.HK,新晨动力
20231231,5340830000.0,41071000.0,217315000.0,,,0.0,23839000.0,3785084000.0,0.0062981429210025456,5.291203038640403,01148.HK,新晨动力
20241231,6082391000.0,38171000.0,303174000.0,,,0.0,85570000.0,3723555000.0,0.022980726751719794,7.942521809750858,01148.HK,新晨动力
20251231,4712300000.0,20157000.0,342506000.0,11540000.0,,11540000.0,545108000.0,2091510000.0,0.26062892360065215,16.991913479188373,01148.HK,新晨动力
20211231,402984146.4,7076850.0,26533469.6,,,0.0,148679900.6,119518560.7,1.2439900525006906,3.7493333333333334,01420.HK,川控股
20221231,459248575.5,8930481.3,5965748.1,,,0.0,121497047.1,112742791.2,1.0776480323648399,0.6680208937899013,01420.HK,川控股
20231231,649737830.4,17449014.0,120825684.0,,,0.0,161880606.0,159148988.4,1.0171639017467986,6.924499229583976,01420.HK,川控股
20241231,764951250.0,43321517.4,153165856.2,,,0.0,179054467.2,470151011.4,0.38084458579982117,3.5355607419235966,01420.HK,川控股
20251231,927983834.4,103516890.4,121017162.0,,,0.0,142742390.0,507775347.8,0.2811132730615009,1.1690571609365112,01420.HK,川控股
20220930,203177000.0,351240000.0,289436000.0,,,0.0,0.0,,,0.8240405420794898,01563.HK,友联国际教育租赁
20230930,441410000.0,189362000.0,760355000.0,,,0.0,344791000.0,1119730000.0,0.3079233386619989,4.015351548885204,01563.HK,友联国际教育租赁
