tier,quality_score,ts_code,name,source_batch,tags,market_cap_hkd,turnover_hkd,pb,pe_ttm,cash_to_liab,net_cash_to_mv,shareholder_return_yield,div_paid_years,latest_payout,profit_trend,revenue_trend,cfo_profit_avg4,oneoff_latest,screen_score,hard_flags
A,124.43979981367943,00536.HK,贸易通,补充宽筛,,875664591.0,635900.0,2.28,10.42,2.9276272772727854,0.3101686149143376,0.0827835583453436,4,0.9551567372003904,稳定,稳定,0.9704712610378179,,116.26070738805774,无明显硬伤
A,124.16501245278693,01425.HK,捷隆控股,原始初筛,,787500000.0,72600.0,0.84,4.72,4.7546256835953,0.8134313299047619,0.0802862222222222,4,0.41979262244451243,稳定,稳定,1.2251759554381398,0.17654678588777145,119.49258992060732,无明显硬伤
A,120.80758244450654,00239.HK,白花油,原始初筛,消费,741703200.0,76825.0,1.03,8.12,3.2618389411697875,0.2909349548175065,0.0702260566760396,4,0.631313905370788,稳定,稳定,1.244850042760275,-0.01587371094519738,119.59907080838806,无明显硬伤
A,120.03529565432662,03888.HK,金山软件,补充宽筛,,31726461150.0,264970743.0,1.04,10.08,3.918748699596656,0.6353803503231246,0.0347276046575399,4,0.3524801585321804,同比增长,稳定,2.722628831551564,0.13448094879833644,99.11700838723372,无明显硬伤
A,119.50137975175006,01571.HK,信邦控股,原始初筛,,3770320180.0,5177020.0,0.92,6.43,1.378211515993295,0.0782172298162751,0.1226370647386238,4,0.8735047417538822,稳定,稳定,1.496532172606412,0.16690029092832584,117.46103395529738,无明显硬伤
A,116.60817744568764,01681.HK,康臣药业,补充宽筛,医药,10707272915.0,10470732.0,2.15,8.97,2.482895112625807,0.2177340596907723,0.0625827888501149,4,0.465714097546813,同比增长,同比增长,1.1873865012088667,0.048836482333658296,109.95250472964506,无明显硬伤
A,114.75883139437094,02610.HK,南山铝业国际,原始初筛,,18203568768.0,17176896.0,1.19,5.73,1.1395360145070548,0.0188369661119847,0.1221203775771623,3,0.7743690442379072,稳定,稳定,1.3805219089101588,0.07959297599576914,110.90384642169133,无明显硬伤
A,114.59505480454214,09985.HK,卫龙美味,补充宽筛,消费,17650116896.0,9844260.0,2.18,11.19,1.5356655591105213,0.1226782243289682,0.064013400401674,3,0.7927594926761362,同比增长,同比增长,2.884258387499087,-0.015411127108820913,105.19714706341186,无明显硬伤
A,114.08508357159981,02076.HK,BOSS直聘-W,补充宽筛,,50559895584.0,1835745.0,2.17,13.39,4.445158387296924,0.3057431749303669,0.0137620537377097,2,0.2021723076473126,同比增长,稳定,4.006132843359512,-0.008061520688470172,106.33474500394706,无明显硬伤
A,113.93114697246561,00887.HK,英皇钟表珠宝,原始初筛,,1712583118.0,457550.0,0.3,3.74,1.5584931810461056,0.3043363496241122,0.0382719910357075,4,0.1582925424704866,同比增长,稳定,2.36901423906955,-0.12323857637707336,105.96188480771367,无明显硬伤
A,112.36432344385871,02489.HK,集海黄金,原始初筛,,1608000000.0,608150.0,1.02,11.92,1.5781924804645184,0.2489427860696517,0.0495883084577114,4,0.7206521640894015,稳定,同比增长,2.2630486660195377,0.16636691460229378,102.87040886430748,无明显硬伤
A,112.14170351694317,01530.HK,三生制药,补充宽筛,,39619497671.0,164099460.0,1.32,4.22,3.368729789708917,0.3476121558724545,0.0141299620870702,4,0.06599990285497899,同比增长,同比增长,1.2824717732769957,0.0576239742593989,102.22854094225876,无明显硬伤
A,112.08673959906446,00999.HK,小菜园,补充宽筛,消费,7465494764.0,3208040.0,2.77,9.43,1.0957639279726317,0.0174131794488524,0.0836187044173245,4,0.872971589669581,同比增长,稳定,1.6589683205116028,0.08360462709693298,105.08683738165934,无明显硬伤
A,111.5864663026178,03316.HK,滨江服务,补充宽筛,,6014616320.0,6279424.0,3.25,9.12,1.0550490556638517,0.0289554629479673,0.0718652657132417,4,0.7258374362728964,稳定,稳定,1.7574966429276409,0.024036620834648737,94.47168026583569,无明显硬伤
A,110.9795296257046,01346.HK,利华控股集团,补充宽筛,,837221000.0,10480.0,1.54,6.78,2.093879610678608,0.3642538979672033,0.0849888047122563,4,0.5080644933062984,稳定,稳定,0.8508846790565046,0.11911045757535133,116.0540366013561,无明显硬伤
