year,date_text,title,url,codes,kind
2019,21 Aug 2019,Announcement – In relation to the matter of Shenji Group Kunming Machine Tool Company Limited (A joint stock limited company incorporated in the People’s Republic of China with limited liability) (Stock Code: 300) Cancellation of listing,https://www.hkex.com.hk/News/Regulatory-Announcements/2019/190821news?sc_lang=en,00300,cancellation
2019,14 Aug 2019,Announcement – In relation to the matter of China Nonferrous Metals Company Limited (Incorporated in Bermuda with limited liability) (Stock Code: 8306) Cancellation of listing,https://www.hkex.com.hk/News/Regulatory-Announcements/2019/1908144news?sc_lang=en,08306,cancellation
2019,02 Aug 2019,Exchange Publishes Consultation Paper on Codification of General Waivers and Principles relating to IPOs and Listed Issuers and Minor Rule Amendments,https://www.hkex.com.hk/News/Regulatory-Announcements/2019/190802news?sc_lang=en,,other
2019,29 Jul 2019,The Listing Committee censures a number of the current directors of Amax International Holdings Limited (Stock Code: 959) for breaching the Listing Rules and the Director’s Undertaking,https://www.hkex.com.hk/News/Regulatory-Announcements/2019/190729news?sc_lang=en,00959,other
2019,29 Jul 2019,"The GEM Listing Committee censures Mr Liang Jian Heng, a former controlling shareholder of Wan Cheng Metal Packaging Company Limited (Stock Code: 8291), for breaching the GEM Listing Rules and the Director’s Undertaking.",https://www.hkex.com.hk/News/Regulatory-Announcements/2019/1907292news?sc_lang=en,08291,other
2019,26 Jul 2019,"Exchange Publishes Conclusions on Proposed Rule Changes Associated with Backdoor Listing and Shell Activities to Strengthen Long-term Health, Quality and Sustainability of the Market",https://www.hkex.com.hk/News/Regulatory-Announcements/2019/190726news?sc_lang=en,,other
2019,15 Jul 2019,China Regenerative Medicine International Limited (Stock Code: 8158) and twelve of its current and former directors censured or criticised for breaching the GEM Listing Rules and the Director’s Undertaking,https://www.hkex.com.hk/News/Regulatory-Announcements/2019/190715news?sc_lang=en,08158,other
2019,05 Jul 2019,New Review Structure for Listing Committee Decisions and Appointment of Inaugural Listing Review Committee,https://www.hkex.com.hk/News/Regulatory-Announcements/2019/1907052news?sc_lang=en,,listing_review
2019,05 Jul 2019,Appointment of Listing Committee Members,https://www.hkex.com.hk/News/Regulatory-Announcements/2019/190705news?sc_lang=en,,other
2019,04 Jul 2019,Announcement - In relation to the matter of Rui Feng Group Holdings Company Limited (Incorporated in Cayman Islands with limited liability) (Stock code: 8312) Cancellation of listing,https://www.hkex.com.hk/News/Regulatory-Announcements/2019/1907042news?sc_lang=en,08312,cancellation
