ts_code,ts_latest_close,ts_days,ts_avg_amount_hkd,ts_median_amount_hkd
00837.HK,6.02,18,376984.1111111111,329267.5
00838.HK,0.94,20,5593831.5,4291830.0
00839.HK,1.82,20,31776137.658,24247590.6
00840.HK,0.199,15,32485.733333333334,30130.0
00841.HK,0.187,13,38771.584615384614,8246.0
00842.HK,1.12,20,2690081.25,1434890.0
00844.HK,0.58,16,28791.25,17940.0
00846.HK,0.091,15,10475.066666666668,4510.0
00848.HK,0.103,14,32716.64285714286,8178.0
00851.HK,0.18,8,7590.58,6245.0
00853.HK,6.61,20,82274841.5725,75123839.64
00854.HK,5.8,19,278040.5263157895,116410.0
00855.HK,4.42,20,4750626.618,3840939.25
00856.HK,9.82,20,90564838.734,61375460.0
00857.HK,9.18,20,1317035233.3,1238503700.5700002
00858.HK,0.072,20,102421.5,60630.0
00859.HK,0.096,6,15711.333333333334,3696.0
00860.HK,0.6,18,124424.94444444444,91430.0
00861.HK,1.92,20,4420759.783,1122650.925
00862.HK,1.16,17,183700.9,135150.0
00863.HK,11.97,20,23469791.722,20354524.32
00864.HK,0.193,4,6843.0,5940.0
00865.HK,0.066,17,422846.9411764706,172488.0
00866.HK,1.66,20,25494335.042000003,17415260.0
00867.HK,10.4,20,63762649.322500005,65992695.5
00868.HK,9.22,20,90606148.40349999,79916084.62
00869.HK,0.47,19,464371.5215789474,98940.0
00871.HK,0.067,15,16741.266666666666,10860.0
00873.HK,0.51,20,615383.2845,537843.62
00874.HK,14.9,20,16528222.958,16234943.6
00875.HK,0.61,20,823768.31675,586480.0
00876.HK,0.051,20,195774.0,140070.0
00878.HK,6.47,19,229019.32210526316,180380.0
00880.HK,1.59,20,18170359.097,17345380.605
00881.HK,5.17,20,83984426.735,45930368.239999995
00882.HK,2.17,20,1508827.25,1127300.0
00883.HK,22.38,20,2800916464.582,2444772534.96
00884.HK,0.044,20,4528912.3886,3826718.1475
00887.HK,0.243,20,802863.5,555600.0
00888.HK,0.052,15,15170.8,5824.0
00889.HK,0.73,20,7858863.0,3608590.0
00893.HK,0.068,18,13607.611111111111,9687.5
00894.HK,4.62,20,163505782.5375,141794324.18
00895.HK,1.71,20,46604153.548,2107623.5
00896.HK,0.25,14,42635.633357142855,33636.0775
00897.HK,0.325,13,10882.458461538461,6375.0
00898.HK,0.95,5,10260.0,11280.0
00899.HK,0.199,18,257586.5177777778,15085.0
00900.HK,8.3,20,1359253.6645,621072.0
00901.HK,63.6,17,41026236.1,17344816.8
00902.HK,6.47,20,363338785.519,281862343.28
00905.HK,0.175,20,189716.8,183432.0
00909.HK,1.53,20,11460014.4285,10149428.5
00911.HK,0.64,20,181638.0125,124905.0
