ts_code,latest_report_date,cash_like,strict_cash_like,total_liabilities,interest_debt,net_cash_after_all_liab,cash_to_liab,net_cash_to_mv,revenue_latest,revenue_cagr_3y,profit_latest,profit_cagr_3y,profit_positive_years,cfo_latest,cfo_positive_years,cfo_to_profit_latest,oneoff_ratio_latest,dps_latest,div_paid_latest,buyback_latest,shareholder_return_hkd,dps_yield_est,dividend_paid_yield_est,score,flags,name,fullname,market,list_date,price_hkd,total_mv_hkd,float_mv_hkd,turnover_hkd,liquidity_ref_hkd,pb,pe_ttm,pe_dynamic,prefilter_pe,static_exclusion_hint,annual_mmdd,annual_period,financial_source,special_label,watch_score
08646.HK,20251231,34605000.0,34605000.0,98427000.0,52464000.0,-63822000.0,0.35158035904782226,-0.30758724357789574,242579000.0,0.05149555536251338,57040000.0,0.1817762588147711,4,-10798000.0,1,-0.18930575035063113,0.048615007012622724,,,,0.0,,0.0,29.45919565775842,非严格净现金;近年盈利稳定,中国宏光,中国宏光控股有限公司,创业板,20200113,0.265,207492350.00000003,207492350.00000003,92925.0,2745537.5055,0.3683050847457626,3.287796610169492,3.287796610169492,3.287796610169492,低PB高分红旁路,1231,FY-12-31,cache,现金流待验证,12.403990392087785
01623.HK,20251231,803145000.0,777622000.0,4682028000.0,2374310000.0,-3878883000.0,0.17153784642039732,-9.855542837720778,4875156000.0,0.16630639417729487,-323554000.0,,3,577938000.0,4,,0.09476625231027896,,,,0.0,,0.0,20.950486207843806,非严格净现金;近年盈利稳定;经营现金流稳定,海隆控股,海隆控股有限公司,主板,20110421,0.232,393573754.7762556,393573754.7762556,6990.0,142710.774,0.1165296803652966,-1.1017351598173517,-1.1017351598173517,-1.1017351598173517,负PE/亏损口径,1231,FY-12-31,cache,反转观察,11.920516697994756
00701.HK,20251231,284943329.5,284943329.5,318854724.4,131749088.52,-33911394.899999976,0.8936462523369781,-0.16648174973664365,241809155.18,-0.2590978585103616,-49802647.58,,0,14861581.88,2,,-0.6754747093708627,,,,0.0,,0.0,23.421924546279307,现金类资产>有息负债,CNT GROUP,北海集团有限公司,主板,19910521,0.107,203694368.62385327,203694368.62385327,0.0,64181.372,0.1668807339449541,-3.691009174311927,-3.691009174311927,-3.691009174311927,负PE/亏损口径,1231,FY-12-31,cache,谨慎观察,11.32480739610693
01257.HK,20251231,2078506121.96,2078506121.96,19693578558.9,16638185813.74,-17615072436.940002,0.10554232770563038,-11.072533297664188,6077978733.48,-0.05443132277122442,102165020.64,-0.30466413462143627,2,3120626003.22,2,30.544955442393377,3.7192959190890442,,52251277.0,,52251277.0,,0.032844259170612775,7.659756957456452,非严格净现金;一次性/其他收益占比较高,中国光大绿色环保,中国光大绿色环保有限公司,主板,20170508,0.77,1590880060.0,1590880060.0,3900.0,317372.19588235294,0.1656962025316455,14.064683544303795,14.064683544303795,14.064683544303795,低PB高分红旁路,1231,FY-12-31,cache,谨慎观察,11.01383281016308
00505.HK,20251231,631600000.0,631600000.0,4236211000.0,1804087000.0,-3604611000.0,0.14909550067265298,-4.452322768205966,9259024000.0,0.14067410881127818,132593000.0,-0.1509185168970285,4,-349414000.0,2,-2.6352371542992468,-1.5457377086271522,,64000.0,12726000.0,12790000.0,,0.015797878940433326,18.404712356297182,非严格净现金;近年盈利稳定,兴业合金,兴业合金材料集团有限公司,主板,20071227,0.9,809602355.3684213,809602355.3684213,0.0,121625.16666666669,0.3221052631578948,5.513684210526318,5.513684210526318,5.513684210526318,低PB高分红旁路,1231,FY-12-31,cache,现金流待验证,11.006874091571383
00256.HK,20251231,8788464276.56,3681074013.22,14911625687.32,524560369.74,-6123161410.76,0.5893699627957542,-17.02031332979204,946719978.42,-0.12962577022509025,-192024572.0,,1,61884118.3,2,,-0.38447318908748823,,3910039.38,,3910039.38,,0.010868584202676713,12.869234591126588,现金类资产>有息负债,冠城钟表珠宝,冠城钟表珠宝集团有限公司,主板,19911210,0.062,359756092.15384614,359756092.15384614,0.0,232397.1,0.0667692307692307,-1.6883076923076925,-1.6883076923076925,-1.6883076923076925,负PE/亏损口径,1231,FY-12-31,cache,谨慎观察,10.615973044889362
00219.HK,20251231,483518956.16,483518956.16,1022344782.58,749342924.7,-538825826.4200001,0.47295096957387167,-1.3469643204753894,646677520.18,0.05719585085898893,-160540129.24,,1,240586195.3,4,,0.01901070090355684,,,,0.0,,0.0,17.284989041487005,非严格净现金;经营现金流稳定,顺豪物业,顺豪物业投资有限公司,主板,19730510,0.69,400029769.3333333,400029769.3333333,0.0,68712.0,0.0574999999999999,-2.252083333333333,-2.252083333333333,-2.252083333333333,负PE/亏损口径,1231,FY-12-31,cache,谨慎观察,10.470623905631253
00420.HK,20120831,921266734.96,921266734.96,2925204899.48,1801802992.7799997,-2003938164.52,0.3149409243515794,-2.516664441445419,5693177948.6,0.058198013623812495,-236529284.35,,2,65213351.6,3,,0.4824776496221619,,14434139.35,,14434139.35,,0.01812724857890721,14.317379416534646,非严格净现金;经营现金流稳定,福田实业,福田实业(集团)有限公司,主板,19880420,0.65,796267524.3939394,796267524.3939394,0.0,240387.36842105264,0.2462121212121212,11.168181818181818,11.168181818181818,11.168181818181818,低PB高分红旁路,0831,FY-08-31,cache,反转观察,10.151337415018148
00711.HK,20250331,1113124005.81,1098141860.76,6075004655.28,3074415527.6400003,-4961880649.469999,0.18323014861273312,-6.632251442578296,8356231186.98,0.10090610556514612,-252891410.37,,3,271930316.1,2,,0.14929261893380139,,13573906.47,9269827.35,22843733.82,,0.030533863525667948,19.666790305523964,非严格净现金;近年盈利稳定,亚洲联合基建控股,亚洲联合基建控股有限公司,主板,19930212,0.405,748144230.1200001,748144230.1200001,0.0,103886.8,0.324,14.6016,14.6016,14.6016,低PB高分红旁路,0331,FY-03-31,cache,反转观察,10.027332205519897
01742.HK,20251031,438072376.5,432163033.5,725358199.5,71217960.0,-287285823.0,0.6039393734047119,-0.9500192559523809,1546527493.5,0.14312925165411894,196280848.5,,2,215516251.5,3,1.0979993878516374,0.8687220011686468,,,,0.0,,0.0,19.02993171483606,现金类资产>有息负债;经营现金流稳定;一次性/其他收益占比较高,HPC HOLDINGS,HPC Holdings Limited,主板,20180511,0.189,302400000.0,302400000.0,0.0,135097.5,0.4484745762711864,1.4094915254237288,1.4094915254237288,1.4094915254237288,低PB高分红旁路,1031,FY-10-31,cache,谨慎观察,9.896620368281553
