tier,quality_score,ts_code,name,source_batch,tags,market_cap_hkd,turnover_hkd,pb,pe_ttm,cash_to_liab,net_cash_to_mv,shareholder_return_yield,div_paid_years,latest_payout,profit_trend,revenue_trend,cfo_profit_avg4,oneoff_latest,screen_score,hard_flags,governance_grade,governance_score,governance_action,governance_notes,hkex_regulatory_hits,sfc_enforcement_hits,dilution_count,capital_reorg_count,connected_count,delay_suspend_count,audit_count,investigation_count,winding_count,offer_privatisation_count,director_auditor_change_count,profit_warning_count,evidence_titles,hkex_regulatory_evidence,sfc_evidence,final_score_after_governance
Watch,39.47496626125248,01508.HK,中国再保险,原始初筛,金融口径,50550971621.0,9723908.0,0.42,4.67,0.0957785799200549,-7.306053378538285,0.0441306255540547,4,0.228309625598561,稳定,同比增长,-7.576295419536359,,49.17063157336671,非严格净现金；现金流覆盖弱；金融口径另看,Clean,0,暂未命中明显治理红旗,未命中官方处分或高风险公告模式,0,0,0,0,0,0,0,0,0,0,1,0,director_auditor_change: ANNOUNCEMENT OF RESIGNATION OF INDEPENDENT NON-EXECUTIVE DIRECTOR,,,39.47496626125248
Watch,49.005598989093365,01478.HK,丘钛科技,原始初筛,,9941490832.0,22207190.0,1.39,6.01,0.4263554998221939,-0.7707408405323166,0.0269364026508011,1,0.1792880245899389,同比增长,同比增长,1.599439145801875,0.6644653020616369,49.94517301704526,一次性占比高；非严格净现金,Watch,26,保留但加治理折价,关联交易 4 次；审计/核数师风险 1 次；盈利警告 4 次,0,0,0,0,4,0,1,0,0,0,1,4,connected: (1) RENEWAL OF CONTINUING CONNECTED TRANSACTIONS; AND (2) NEW CONTINUING CONNECTED TRANSACTION || connected: UPDATE ANNOUNCEMENT ON THE CONNECTED TRANSACTION || audit: PROPOSED CHANGE OF AUDITOR || director_auditor_change: PROPOSED CHANGE OF AUDITOR || profit_warning: PROFIT WARNING || profit_warning: PROFIT WARNING,,,39.005598989093365
Watch,48.30936076093247,06060.HK,众安在线,原始初筛,,16898673387.0,89241440.0,0.6,13.86,0.1441822842986943,-1.07671191597781,0.0,0,,同比增长,同比增长,1.9155902486542915,,32.5952811173765,非严格净现金,Watch,44,保留但加治理折价,稀释融资/配股供股 2 次；关联交易频繁 10 次；审计/核数师风险 1 次；盈利警告 2 次,0,0,2,0,10,0,1,0,0,0,2,2,dilution: COMPLETION OF PLACING OF NEW H SHARES || dilution: PLACING OF NEW H SHARES UNDER GENERAL MANDATE || connected: CONNECTED TRANSACTION - CAPITAL CONTRIBUTION TO ZA GLOBAL BY ZHONGAN TECHNOLOGY || connected: CONTINUING CONNECTED TRANSACTION - FINANCIAL SERVICES FRAMEWORK AGREEMENT || audit: PROPOSED CHANGE OF AUDITOR || director_auditor_change: PROPOSED CHANGE OF AUDITOR || director_auditor_change: RESIGNATION OF INDEPENDENT NON-EXECUTIVE DIRECTOR AND CHANGE OF COMPOSITION OF NOMINATION AND REMUNERATION MANAGEMENT COMMITTEE AND RISK MANAGEMENT AND RELATED TRANSACTION CONTROL COMMITTEE || profit_warning: INSIDE INFORMATION - PROFIT WARNING,,,38.30936076093247
Watch,48.16284030826306,02155.HK,森松国际,原始初筛,,10386757930.0,52619426.0,1.64,15.65,0.7694324467930582,-0.0947515102048787,0.0164126285746605,2,0.2843161944852592,同比下滑,稳定,1.096453006269683,0.2554732960524889,59.14775372983585,非严格净现金；利润趋势弱,Watch,35,保留但加治理折价,稀释融资/配股供股 2 次；关联交易 4 次；调查/内控/违规关键词 1 次,0,0,2,0,4,0,0,1,0,0,0,0,"dilution: COMPLETION OF PLACING OF EXISTING SHARES AND TOP-UP SUBSCRIPTION OF NEW SHARES UNDER GENERAL MANDATE || dilution: PLACING OF EXISTING SHARES AND TOP-UP SUBSCRIPTION OF NEW SHARES UNDER GENERAL MANDATE || connected: CONNECTED TRANSACTION IN RELATION TO PRODUCT PROCUREMENT CONTRACT || connected: CONNECTED TRANSACTION IN RELATION TO THE LEASE AGREEMENT || investigation: PASSING AWAY OF AN INDEPENDENT NON-EXECUTIVE DIRECTOR AND NON-COMPLIANCE WITH RULES 3.10(1), 3.10A, 3.21 AND 3.25 OF THE LISTING RULES",,,38.16284030826306
Watch,63.15449309642486,06669.HK,先瑞达医疗-B,原始初筛,医药,2563523419.0,1098210.0,1.57,19.43,2.4182040345703704,0.2168706538350528,0.0,0,,同比增长,同比增长,0.3393812490666966,0.4433481004161632,78.10237655546189,一次性偏高；现金流覆盖弱,Amber,50,降权，需逐条公告复核,审计/核数师风险 2 次；要约/私有化/撤销上市关键词 6 次,0,0,0,0,0,0,2,0,0,6,2,0,audit: PROPOSALS FOR GENERAL MANDATES TO ISSUE SHARES AND REPURCHASE SHARES; RE-ELECTION OF RETIRING DIRECTORS; CHANGE OF AUDITOR; AND NOTICE OF ANNUAL GENERAL MEETING || audit: PROPOSED CHANGE OF AUDITOR || offer_privatisation: JOINT ANNOUNCEMENT VOLUNTARY PARTIAL CASH OFFER BY CITIGROUP GLOBAL MARKETS ASIA LIMITED ON BEHALF OF THE OFFEROR TO ACQUIRE A MAXIMUM OF 65 PER CENT. OF THE ISSUED SHARE CAPITAL OF THE COMPANY FROM QUALIFYING SHAREHOLDERS CLOSE OF THE PARTIAL OFFER || offer_privatisation: JOINT ANNOUNCEMENT VOLUNTARY CONDITIONAL PARTIAL CASH OFFER BY CITIGROUP GLOBAL MARKETS ASIA LIMITED ON BEHALF OF THE OFFEROR TO ACQUIRE A MAXIMUM OF 65 PER CENT. OF THE ISSUED SHARE CAPITAL OF THE COMPANY FROM QUALIFYING SHAREHOLDERS (1) ACCEPTANCE AND APPROVAL OF THE PARTIAL OFFER PURSUANT TO THE IRREVOCABLE UNDERTAKINGS (2) THE PARTIAL OFFER HAS BECOME UNCONDITIONAL IN ALL RESPECTS || director_auditor_change: PROPOSALS FOR GENERAL MANDATES TO ISSUE SHARES AND REPURCHASE SHARES; RE-ELECTION OF RETIRING DIRECTORS; CHANGE OF AUDITOR; AND NOTICE OF ANNUAL GENERAL MEETING || director_auditor_change: PROPOSED CHANGE OF AUDITOR,,,38.15449309642486
Watch,62.79701762279869,06169.HK,宇华教育,原始初筛,教育,1479879331.0,204790.0,0.14,1.67,0.5677368591923463,-0.9006051858967412,0.0,0,,同比增长,稳定,2.0751633829140754,0.033582972353303,48.21313766534749,非严格净现金,Amber,58,降权，需逐条公告复核,稀释融资/配股供股 3 次；延迟刊发/停复牌相关 8 次,0,0,3,0,0,8,0,0,0,0,0,0,"dilution: PROPOSALS FOR GENERAL MANDATES TO ISSUE SHARES AND REPURCHASE SHARES AND RE-ELECTION OF DIRECTORS AND RE-APPOINTMENT OF AUDITORS AND ISSUE OF UNLISTED WARRANTS UNDER SPECIFIC MANDATE AND PROPOSED AMENDMENTS TO THE MEMORANDUM AND ARTICLES OF ASSOCIATION AND ADOPTION OF THE NEW MEMORANDUM AND ARTICLES OF ASSOCIATION AND NOTICE OF ANNUAL GENERAL MEETING || dilution: COMPLETION OF PLACING OF EXISTING SHARES AND TOP-UP SUBSCRIPTION OF NEW SHARES UNDER GENERAL MANDATE || delay_suspend: NOTICE OF BOARD MEETING AND CONTINUED SUSPENSION OF TRADING || delay_suspend: (1) UPDATE IN RELATION TO THE HK$2,088,000,000 0.90% CONVERTIBLE BONDS DUE 2024 (THE ""CONVERTIBLE BONDS""); (2) FURTHER DELAY IN PUBLICATION OF THE ANNUAL RESULTS FOR THE YEAR ENDED 31 AUGUST 2024 AND POSSIBLE DELAY IN DESPATCH OF THE 2024 ANNUAL REPORT; AND (3) CONTINUED TRADING SUSPENSION",,,37.79701762279869
Watch,47.2778166937109,00376.HK,云锋金融,原始初筛,金融口径,7347317928.0,4426500.0,0.59,11.26,0.07709693866537,-10.5373994595678,0.0120956417472179,4,0.1507823155313769,同比增长,同比增长,2.3054197270282666,,35.016437420142054,非严格净现金；金融口径另看,Watch,20,保留但加治理折价,稀释融资/配股供股 2 次；关联交易 2 次；盈利警告 2 次,0,0,2,0,2,0,0,0,0,0,0,2,dilution: COMPLETION OF PLACING OF EXISTING SHARES AND TOP-UP SUBSCRIPTION OF NEW SHARES UNDER GENERAL MANDATE || dilution: PLACING OF EXISTING SHARES AND TOP-UP SUBSCRIPTION OF NEW SHARES UNDER GENERAL MANDATE || connected: (1) MAJOR AND CONNECTED TRANSACTION ASSET-BACKED HYBRID FACILITY/INVESTMENT AGREEMENT WITH NEW ALTERNATIVE AND YUNFENG CAPITAL; AND (2) NOTICE OF EXTRAORDINARY GENERAL MEETING || connected: MAJOR AND CONNECTED TRANSACTION ASSET-BACKED HYBRID FACILITY/INVESTMENT AGREEMENT WITH NEW ALTERNATIVE AND YUNFENG CAPITAL || profit_warning: PROFIT WARNING || profit_warning: PROFIT WARNING,,,37.2778166937109
Watch,47.06148625887799,00440.HK,大新金融,原始初筛,金融口径,12207768820.0,5284968.0,0.33,5.94,0.0093518750511152,-16.410369367165,0.0738931261101649,4,0.4855481971465882,同比增长,稳定,0.6730183514232786,-0.0486920646835587,51.0926533480107,非严格净现金；现金流覆盖弱；金融口径另看,Watch,20,保留但加治理折价,审计/核数师风险 2 次,0,0,0,0,0,0,2,0,0,0,3,0,"audit: Proposals for General Mandates to Issue and Buy back Shares, Re-election of Directors, Change of Auditor and Notice of Annual General Meeting || audit: Proposed Change of Auditor || director_auditor_change: Proposals for General Mandates to Issue and Buy back Shares, Re-election of Directors, Change of Auditor and Notice of Annual General Meeting || director_auditor_change: Proposed Change of Auditor",,,37.06148625887799
Watch,36.96676093908016,09690.HK,途虎-W,原始初筛,,9741919410.0,7815666.0,1.74,20.93,0.5543901629722648,-0.3864016772850721,0.0590568424749471,0,,高点回落,稳定,1.3486068517291223,0.3674053388012198,63.10478477380912,一次性偏高；非严格净现金；利润趋势弱；回购多于现金分红,Clean,0,暂未命中明显治理红旗,未命中官方处分或高风险公告模式,0,0,0,0,0,0,0,0,0,0,0,0,,,,36.96676093908016
Watch,61.35977344638192,01809.HK,浦林成山,原始初筛,,4285307950.0,804900.0,0.54,3.56,0.2608574912765777,-0.7857054940473998,0.07291214625544,4,0.2620667016685991,同比下滑,稳定,1.2668517269836503,0.071782772245,69.97197888189022,非严格净现金；利润趋势弱,Amber,78,降权，需逐条公告复核,关联交易 1 次；延迟刊发/停复牌相关 2 次；审计/核数师风险 2 次；调查/内控/违规关键词 2 次；盈利警告 1 次,0,0,0,0,1,2,2,2,0,0,1,1,"connected: CONNECTED TRANSACTION AND CONTINUING CONNECTED TRANSACTIONS RENEWAL OF AGREEMENTS DUE TO EXPIRE IN 2023 || delay_suspend: (1) FURTHER DELAY IN PUBLICATION OF AUDITED ANNUAL RESULTS FOR THE YEAR ENDED DECEMBER 31, 2021 AND 2021 ANNUAL REPORT AND (2) POSTPONEMENT OF BOARD MEETING || delay_suspend: (1) DELAY IN PUBLICATION OF AUDITED ANNUAL RESULTS ANNOUNCEMENT FOR THE YEAR ENDED DECEMBER 31, 2021 (2) PRELIMINARY UNAUDITED ANNUAL RESULTS ANNOUNCEMENT FOR THE YEAR ENDED DECEMBER 31, 2021 || audit: (1) FURTHER DELAY IN PUBLICATION OF AUDITED ANNUAL RESULTS FOR THE YEAR ENDED DECEMBER 31, 2021 AND 2021 ANNUAL REPORT AND (2) POSTPONEMENT OF BOARD MEETING || audit: (1) DELAY IN PUBLICATION OF AUDITED ANNUAL RESULTS ANNOUNCEMENT FOR THE YEAR ENDED DECEMBER 31, 2021 (2) PRELIMINARY UNAUDITED ANNUAL RESULTS ANNOUNCEMENT FOR THE YEAR ENDED DECEMBER 31, 2021 || investigation: VOLUNTARY ANNOUNCEMENT IN RELATION TO UPDATE ON DETERMINATION ON ANTI-DUMPING INVESTIGATION || investigation: VOLUNTARY ANNOUNCEMENT IN RELATION TO POSITIVE PRELIMINARY DETERMINATION ON ANTI-DUMPING INVESTIGATION || director_auditor_change: (1) RESIGNATION OF INDEPENDENT NON-EXECUTIVE DIRECTOR; (2) APPOINTMENT OF INDEPENDENT NON-EXECUTIVE DIRECTOR; AND (3) CHANGE IN COMPOSITION OF BOARD COMMITTEES",,,36.35977344638192
